Month2,Average Flow (m3/s)
3/1/2006,1670.00
4/1/2006,5320.00
5/1/2006,4370.00
6/1/2006,2330.00
7/1/2006,1590.00
8/1/2006,1500.00
9/1/2006,1450.00
10/1/2006,1430.00
11/1/2006,1420.00
12/1/2006,2430.00
1/1/2007,2790.00
2/1/2007,2180.00
3/1/2007,5260.00
4/1/2007,7000.00
5/1/2007,4830.00
6/1/2007,3240.00
7/1/2007,1880.00
8/1/2007,2590.00
9/1/2007,3620.00
10/1/2007,3740.00
11/1/2007,2860.00
12/1/2007,2240.00
1/1/2008,3270.00
2/1/2008,3830.00
3/1/2008,5940.00
4/1/2008,7630.00
5/1/2008,8410.00
6/1/2008,9920.00
7/1/2008,8190.00
8/1/2008,3530.00
9/1/2008,4600.00
10/1/2008,3150.00
11/1/2008,2290.00
12/1/2008,2370.00
1/1/2009,3270.00
2/1/2009,3180.00
3/1/2009,6540.00
4/1/2009,6830.00
5/1/2009,8120.00
6/1/2009,6090.00
7/1/2009,3270.00
8/1/2009,2660.00
9/1/2009,2320.00
10/1/2009,3680.00
11/1/2009,7050.00
12/1/2009,4370.00
1/1/2010,4250.00
2/1/2010,3420.00
3/1/2010,6870.00
4/1/2010,7610.00
5/1/2010,6930.00
6/1/2010,7760.00
7/1/2010,9200.00
8/1/2010,7830.00
9/1/2010,4580.00
10/1/2010,5230.00
11/1/2010,3480.00
12/1/2010,2230.00
1/1/2011,2710.00
2/1/2011,3800.00
3/1/2011,5930.00
4/1/2011,7910.00
5/1/2011,8390.00
6/1/2011,8980.00
7/1/2011,6130.00
8/1/2011,3870.00
9/1/2011,1340.00
10/1/2011,1430.00
11/1/2011,1780.00
12/1/2011,2110.00
1/1/2012,1520.00
2/1/2012,1780.00
3/1/2012,2760.00
4/1/2012,2900.00
5/1/2012,4400.00
6/1/2012,2900.00
7/1/2012,1910.00
8/1/2012,1070.00
9/1/2012,786.00
10/1/2012,1080.00
11/1/2012,1110.00
12/1/2012,945.00
1/1/2013,1050.00
2/1/2013,1960.00
3/1/2013,4190.00
4/1/2013,7900.00
5/1/2013,9650.00
6/1/2013,9980.00
7/1/2013,6570.00
8/1/2013,1630.00
9/1/2013,1230.00
10/1/2013,1490.00
11/1/2013,1570.00
12/1/2013,1210.00
1/1/2014,1460.00
2/1/2014,2170.00
3/1/2014,3800.00
4/1/2014,4990.00
5/1/2014,6840.00
6/1/2014,6570.00
7/1/2014,8350.00
8/1/2014,2870.00
9/1/2014,4570.00
10/1/2014,4250.00
11/1/2014,2130.00
12/1/2014,2610.00
1/1/2015,1820.00
2/1/2015,1750.00
3/1/2015,2670.00
4/1/2015,3240.00
5/1/2015,3460.00
6/1/2015,7850.00
7/1/2015,8470.00
8/1/2015,3560.00
9/1/2015,2630.00
10/10/2015,1660.00
11/10/2015,3060.00
12/10/2015,7290.00
1/10/2016,6840.00
2/10/2016,3710.00
3/10/2016,4860.00
4/10/2016,5350.00
5/10/2016,5060.00
6/10/2016,4640.00
7/10/2016,3610.00
8/10/2016,4520.00
9/10/2016,5730.00
