Month2,Average Flow (m3/s)
4/1/2010,13000.00
5/1/2010,13800.00
6/1/2010,13800.00
7/1/2010,15500.00
8/1/2010,12600.00
9/1/2010,9060.00
10/1/2010,8860.00
11/1/2010,6560.00
12/1/2010,4700.00
1/1/2011,4490.00
2/1/2011,6510.00
3/1/2011,12600.00
4/1/2011,14000.00
5/1/2011,16700.00
6/1/2011,16400.00
7/1/2011,14400.00
8/1/2011,10600.00
9/1/2011,6360.00
10/1/2011,4130.00
11/1/2011,4120.00
12/1/2011,5480.00
1/1/2012,3720.00
2/1/2012,4260.00
3/1/2012,6310.00
4/1/2012,6690.00
5/1/2012,7500.00
6/1/2012,4980.00
7/1/2012,3700.00
8/1/2012,2350.00
9/1/2012,2400.00
10/1/2012,2360.00
11/1/2012,2470.00
12/1/2012,2120.00
1/1/2013,2410.00
2/1/2013,3820.00
3/1/2013,8010.00
4/1/2013,12500.00
5/1/2013,15200.00
6/1/2013,16400.00
7/1/2013,9380.00
8/1/2013,4800.00
9/1/2013,2680.00
10/1/2013,2660.00
11/1/2013,3150.00
12/1/2013,2780.00
1/1/2014,2800.00
2/1/2014,3290.00
3/1/2014,4970.00
4/1/2014,8140.00
5/1/2014,9230.00
6/1/2014,10100.00
7/1/2014,12000.00
8/1/2014,5040.00
9/1/2014,8620.00
10/1/2014,8490.00
11/1/2014,4470.00
12/1/2014,4710.00
1/1/2015,3640.00
2/1/2015,3800.00
3/1/2015,5400.00
4/1/2015,6380.00
5/1/2015,7730.00
6/1/2015,15700.00
7/1/2015,16700.00
8/1/2015,7680.00
9/1/2015,4930.00
10/10/2015,3420.00
11/10/2015,5740.00
12/10/2015,13200.00
1/10/2016,14400.00
2/10/2016,7290.00
3/10/2016,7680.00
4/10/2016,8270.00
5/10/2016,11100.00
6/10/2016,9360.00
7/10/2016,7560.00
8/10/2016,8060.00
9/10/2016,9660.00
